quarter,starter,trade up,premium,city,state
0,2012 Q1,87550.0,141300.0,251466.7,Baton Rouge,Louisiana
1,2012 Q1,73566.66,139933.2,275633.3,Fresno,California
2,2012 Q1,63683.33,120000.0,227600.0,Bakersfield,California
3,2012 Q1,399000.0,627666.7,1205000.0,San Francisco,California
4,2012 Q1,249666.7,469481.3,985300.0,Honolulu,Hawaii
5,2012 Q1,40630.67,89900.0,179900.0,Toledo,Ohio
6,2012 Q1,235000.0,381916.7,726308.2,Ventura County,California
7,2012 Q1,69900.0,116133.3,205266.7,Syracuse,New York
8,2012 Q1,80281.66,114300.0,197241.7,El Paso,Texas
9,2012 Q1,315000.0,551616.7,1091167.0,San Jose,California
10,2012 Q1,59900.0,109900.0,195000.0,Wichita,Kansas
11,2012 Q1,107633.3,161657.7,283300.0,Albuquerque,New Mexico
12,2012 Q1,69900.0,117300.0,224900.0,Buffalo,New York
13,2012 Q1,101633.3,189966.7,324966.7,Wilmington,Delaware
14,2012 Q1,125900.0,189000.0,349633.3,Colorado Springs,Colorado
15,2012 Q1,68475.0,129850.0,242266.7,Gary,Indiana
16,2012 Q1,89083.34,149966.7,287666.7,New Orleans,Louisiana
17,2012 Q1,69766.66,119900.0,216600.0,Rochester,New York
18,2012 Q1,53633.33,114900.0,224300.0,Akron,Ohio
19,2012 Q1,63933.33,123300.0,231766.7,Winston-Salem,North Carolina
20,2012 Q1,114400.0,179600.0,319616.7,Salt Lake City,Utah
21,2012 Q1,179900.0,335633.3,652600.0,Silver Spring-Frederick-Rockville,Maryland
22,2012 Q1,98166.66,174266.7,507933.3,Charleston,South Carolina
23,2012 Q1,59900.0,125300.0,240933.3,Little Rock,Arkansas
24,2012 Q1,127000.0,204633.3,351558.3,Tacoma,Washington
25,2012 Q1,124933.3,214933.3,399000.0,New Haven,Connecticut
26,2012 Q1,68166.66,127300.0,243316.7,Omaha,Nebraska
27,2012 Q1,119300.0,184766.7,313183.3,Albany,New York
28,2012 Q1,99900.0,175633.3,299900.0,Allentown,Pennsylvania
29,2012 Q1,43783.33,96983.34,188550.0,Dayton,Ohio
30,2012 Q1,129833.3,201299.8,349600.0,Worcester,Massachusetts
31,2012 Q1,52466.67,112633.3,238266.7,Greensboro-High Point,North Carolina
32,2012 Q1,103300.0,186500.0,326600.0,Madison,Wisconsin
33,2012 Q1,99766.66,175000.0,309231.7,Richmond,Virginia
34,2012 Q1,181566.7,349999.7,725908.3,Oakland,California
35,2012 Q1,84900.0,174900.0,336341.7,Milwaukee,Wisconsin
36,2012 Q1,60333.33,119900.0,223266.7,Columbia,South Carolina
37,2012 Q1,59900.0,119233.3,224900.0,Grand Rapids,Michigan
38,2012 Q1,189333.3,379999.7,1033333.0,Fairfield County,Connecticut
39,2012 Q1,69966.66,122466.7,249900.0,Louisville,Kentucky
40,2012 Q1,69000.0,129433.3,261570.2,Greenville,South Carolina
41,2012 Q1,49966.67,109900.0,214966.7,Tulsa,Oklahoma
42,2012 Q1,46716.67,123433.3,249600.0,Birmingham,Alabama
43,2012 Q1,89949.84,179933.3,483700.0,Lake County-Kenosha County,IL-WI
44,2012 Q1,138999.7,219300.0,371750.0,Hartford,Connecticut
45,2012 Q1,195000.0,319000.0,612966.3,Boston,Massachusetts
46,2012 Q1,60000.0,114900.0,219900.0,Oklahoma City,Oklahoma
47,2012 Q1,79933.34,139900.0,279600.0,Tucson,Arizona
48,2012 Q1,41000.0,104816.7,232333.3,Memphis,Tennessee
49,2012 Q1,197100.0,339400.0,623000.0,Cambridge-Newton-Framingham,Massachusetts
50,2012 Q1,59900.0,123666.7,260933.3,Knoxville,Tennessee
51,2012 Q1,110333.3,177166.7,368507.3,Austin,Texas
52,2012 Q1,111300.0,180666.7,349900.0,Raleigh,North Carolina
53,2012 Q1,115000.0,207616.7,391000.0,Sacramento,California
54,2012 Q1,55933.33,110000.0,274213.3,Deltona-Daytona Beach-Ormond Beach,Florida
55,2012 Q1,134800.0,219900.0,402633.3,Providence,Rhode Island
56,2012 Q1,68800.0,129900.0,249600.0,Cincinnati,Ohio
57,2012 Q1,74900.0,153833.3,409300.0,North Port-Sarasota-Bradenton,Florida
58,2012 Q1,159916.7,285149.3,564998.2,Seattle,Washington
59,2012 Q1,14900.0,49900.0,129300.0,Detroit,Michigan
60,2012 Q1,115000.0,179900.0,299300.0,Camden,New Jersey
61,2012 Q1,169900.0,268516.7,476633.3,Montgomery County-Bucks County-Chester County,Pennsylvania
62,2012 Q1,139900.0,219900.0,395300.0,Portland,Oregon
63,2012 Q1,60333.33,129900.0,259883.3,Columbus,Ohio
64,2012 Q1,57233.33,112783.3,236633.3,Pittsburgh,Pennsylvania
65,2012 Q1,60000.0,129900.0,299616.7,Jacksonville,Florida
66,2012 Q1,59900.0,129900.0,269090.3,Philadelphia,Pennsylvania
67,2012 Q1,120300.0,199900.0,373000.0,Virginia Beach-Norfolk,Virginia
68,2012 Q1,47600.0,117338.8,259600.0,Warren-Troy-Farmington Hills,Michigan
69,2012 Q1,69966.66,125911.3,263266.7,Fort Worth,Texas
